# Measurement_Time,Delay_Ch2
1.285860490798950195e+02,-7.143000000000003513e-03
1.289763035774230957e+02,-7.415999999999998982e-03
1.294440171718597412e+02,-7.596999999999999587e-03
1.298892428874969482e+02,-7.693999999999999451e-03
1.303285231590270996e+02,-7.658999999999999142e-03
1.307561507225036621e+02,-7.511000000000003785e-03
1.312102551460266113e+02,-7.267000000000002624e-03
1.316352803707122803e+02,-6.934000000000002661e-03
1.319978771209716797e+02,-6.574000000000003452e-03
1.324190826416015625e+02,-6.242999999999998550e-03
1.328132035732269287e+02,-5.873000000000003218e-03
1.332286429405212402e+02,-5.563999999999999502e-03
1.336530139446258545e+02,-5.290000000000003033e-03
1.340865817070007324e+02,-5.097999999999998366e-03
1.345313625335693359e+02,-5.003000000000000502e-03
1.349751226902008057e+02,-5.027000000000003688e-03
1.354190559387207031e+02,-5.177000000000001045e-03
1.358522768020629883e+02,-5.435999999999996390e-03
1.362999660968780518e+02,-5.782000000000002415e-03
1.367675316333770752e+02,-6.270999999999998797e-03
1.371651408672332764e+02,-6.721999999999998809e-03
1.376241505146026611e+02,-7.159999999999999698e-03
1.380362889766693115e+02,-7.640000000000000957e-03
1.384571812152862549e+02,-8.018999999999998352e-03
1.388656518459320068e+02,-8.334000000000001129e-03
1.393191547393798828e+02,-8.553999999999999104e-03
1.397158496379852295e+02,-8.681000000000001215e-03
1.401265170574188232e+02,-8.687000000000000277e-03
1.405429444313049316e+02,-8.591000000000001413e-03
1.409331629276275635e+02,-8.401999999999999746e-03
1.413668546676635742e+02,-8.149000000000003463e-03
1.417769546508789062e+02,-7.801000000000002377e-03
1.422233324050903320e+02,-7.440000000000002167e-03
1.426148405075073242e+02,-7.038000000000002587e-03
1.430123610496520996e+02,-6.710000000000000686e-03
1.435241446495056152e+02,-6.418000000000000094e-03
1.439392168521881104e+02,-6.143000000000002625e-03
1.443089053630828857e+02,-6.021999999999999575e-03
1.446839303970336914e+02,-5.999999999999998390e-03
1.450888500213623047e+02,-6.066000000000001946e-03
1.455482110977172852e+02,-6.229999999999999427e-03
1.459510023593902588e+02,-6.531000000000002081e-03
1.463929085731506348e+02,-6.872000000000003106e-03
1.468292195796966553e+02,-7.321000000000001118e-03
1.472656211853027344e+02,-7.787000000000002253e-03
1.477055060863494873e+02,-8.266000000000002512e-03
1.481467366218566895e+02,-8.717000000000002524e-03
1.486082720756530762e+02,-9.107000000000003981e-03
1.489996643066406250e+02,-9.424000000000001820e-03
1.494314131736755371e+02,-9.605000000000002425e-03
1.498104691505432129e+02,-9.690999999999998227e-03
1.502035794258117676e+02,-9.674000000000002042e-03
1.506751720905303955e+02,-9.561000000000000054e-03
1.510961027145385742e+02,-9.319000000000000894e-03
1.515589349269866943e+02,-9.022000000000002240e-03
1.519821596145629883e+02,-8.635999999999997845e-03
1.524243245124816895e+02,-8.261000000000004451e-03
1.528374140262603760e+02,-7.865999999999997994e-03
1.532421894073486328e+02,-7.543000000000001093e-03
1.536723217964172363e+02,-7.277999999999999747e-03
1.541278471946716309e+02,-7.087000000000003019e-03
1.545255286693572998e+02,-6.998999999999998278e-03
1.548971121311187744e+02,-7.025999999999997525e-03
1.552905957698822021e+02,-7.137999999999998513e-03
1.557232084274291992e+02,-7.352000000000004365e-03
1.561839780807495117e+02,-7.675000000000001266e-03
1.566193046569824219e+02,-8.102999999999999092e-03
1.570551130771636963e+02,-8.555000000000000104e-03
1.574917957782745361e+02,-9.037000000000003364e-03
1.579643676280975342e+02,-9.556000000000001993e-03
1.583926062583923340e+02,-9.954999999999998572e-03
1.588028411865234375e+02,-2.990000000000006541e-04
1.592373163700103760e+02,-5.300000000000026912e-04
1.596888508796691895e+02,-6.680000000000019256e-04
1.601115970611572266e+02,-6.870000000000001106e-04
1.605364971160888672e+02,-5.910000000000012466e-04
1.609320790767669678e+02,-3.970000000000015183e-04
1.613428390026092529e+02,-1.349999999999962341e-04
1.617416267395019531e+02,-9.818000000000000338e-03
1.621756677627563477e+02,-9.475999999999998313e-03
1.626181907653808594e+02,-9.081999999999999795e-03
1.630533616542816162e+02,-8.710000000000002462e-03
1.635024156570434570e+02,-8.392000000000003623e-03
1.639305121898651123e+02,-8.149999999999997524e-03
1.644041874408721924e+02,-8.023000000000002352e-03
1.648218290805816650e+02,-8.004999999999998228e-03
1.652430710792541504e+02,-8.107000000000003093e-03
1.656362574100494385e+02,-8.313000000000000944e-03
1.660805892944335938e+02,-8.598000000000001475e-03
1.665051016807556152e+02,-8.993000000000000993e-03
1.669429180622100830e+02,-9.434999999999998943e-03
1.673661892414093018e+02,-9.904000000000003079e-03
1.677435591220855713e+02,-3.789999999999973945e-04
1.681559460163116455e+02,-7.619999999999987894e-04
1.685739161968231201e+02,-1.120999999999996999e-03
1.690187606811523438e+02,-1.410000000000001530e-03
1.694483993053436279e+02,-1.610000000000000320e-03
1.698929533958435059e+02,-1.691999999999999060e-03
1.703272643089294434e+02,-1.653000000000001690e-03
1.707524335384368896e+02,-1.504999999999999394e-03
1.711410412788391113e+02,-1.267999999999998295e-03
1.716446719169616699e+02,-9.740000000000026414e-04
1.720652468204498291e+02,-5.479999999999998761e-04
1.724782609939575195e+02,-1.719999999999985429e-04
1.729285392761230469e+02,-9.823999999999999400e-03
1.733770821094512939e+02,-9.479000000000001314e-03
1.738139421939849854e+02,-9.209000000000001906e-03
1.742480421066284180e+02,-9.045999999999998487e-03
1.746752007007598877e+02,-8.995000000000002993e-03
1.751008129119873047e+02,-9.058999999999997610e-03
1.755489802360534668e+02,-9.232000000000004092e-03
1.759908134937286377e+02,-9.525999999999999746e-03
1.764326374530792236e+02,-9.904000000000003079e-03
1.768713698387145996e+02,-3.690000000000012714e-04
1.772952225208282471e+02,-8.350000000000024070e-04
1.777272391319274902e+02,-1.302999999999998604e-03
1.781622784137725830e+02,-1.740999999999999492e-03
1.785909473896026611e+02,-2.118999999999995887e-03
1.790421900749206543e+02,-2.443000000000000727e-03
1.794746201038360596e+02,-2.614999999999999269e-03
1.798997414112091064e+02,-2.691999999999999948e-03
1.802734301090240479e+02,-2.653000000000002578e-03
1.806573379039764404e+02,-2.527000000000001467e-03
1.810639803409576416e+02,-2.326000000000001677e-03
1.814637024402618408e+02,-2.036999999999997146e-03
1.818810133934020996e+02,-1.707000000000000184e-03
1.823008751869201660e+02,-1.342999999999996974e-03
1.827144722938537598e+02,-9.679999999999966409e-04
1.831246910095214844e+02,-6.239999999999995550e-04
1.835262258052825928e+02,-3.420000000000020246e-04
1.839159605503082275e+02,-1.379999999999992344e-04
1.843840818405151367e+02,-2.200000000000118527e-05
1.848222985267639160e+02,-4.000000000004000356e-06
1.852183039188385010e+02,-1.120000000000009877e-04
1.856649053096771240e+02,-3.049999999999997158e-04
1.860991623401641846e+02,-6.280000000000035554e-04
1.865118870735168457e+02,-1.018999999999999073e-03
1.869524970054626465e+02,-1.441999999999998838e-03
1.873960545063018799e+02,-1.920999999999999097e-03
1.877922904491424561e+02,-2.406999999999999418e-03
1.882022688388824463e+02,-2.795999999999999874e-03
1.886140360832214355e+02,-3.148999999999999022e-03
1.890406727790832520e+02,-3.430000000000002491e-03
1.894223840236663818e+02,-3.613999999999999158e-03
1.898169212341308594e+02,-3.688000000000003775e-03
1.902644524574279785e+02,-3.667999999999997651e-03
1.906972794532775879e+02,-3.530999999999999417e-03
1.911104688644409180e+02,-3.299999999999997380e-03
1.915721144676208496e+02,-2.999000000000001664e-03
1.920009706020355225e+02,-2.610000000000001208e-03
1.924487316608428955e+02,-2.225999999999998813e-03
1.929412755966186523e+02,-1.841000000000002357e-03
1.933305313587188721e+02,-1.464000000000000024e-03
1.937059760093688965e+02,-1.224000000000002863e-03
1.941145839691162109e+02,-1.072999999999997567e-03
1.945630726814270020e+02,-9.959999999999968878e-04
1.949821813106536865e+02,-1.031999999999998197e-03
1.954042339324951172e+02,-1.178999999999999493e-03
1.958574447631835938e+02,-1.426999999999997715e-03
1.962877893447875977e+02,-1.789999999999999925e-03
1.967440454959869385e+02,-2.208000000000001628e-03
1.971914947032928467e+02,-2.700000000000001010e-03
1.976113038063049316e+02,-3.192000000000000393e-03
1.980582695007324219e+02,-3.629000000000000281e-03
1.984653601646423340e+02,-4.034000000000002861e-03
1.988368442058563232e+02,-4.339000000000002577e-03
1.992447984218597412e+02,-4.539000000000001367e-03
1.997326421737670898e+02,-4.665000000000002478e-03
2.001807460784912109e+02,-4.679000000000002601e-03
2.006046538352966309e+02,-4.568000000000002614e-03
2.010555596351623535e+02,-4.354999999999997762e-03
2.014610197544097900e+02,-4.044999999999999984e-03
2.018604009151458740e+02,-3.715999999999997083e-03
2.022731962203979492e+02,-3.352000000000000812e-03
2.026626358032226562e+02,-2.987000000000003541e-03
2.031247715950012207e+02,-2.662999999999998701e-03
2.035296897888183594e+02,-2.341999999999996862e-03
2.038995189666748047e+02,-2.137000000000000011e-03
2.043173511028289795e+02,-2.023999999999998023e-03
2.047175326347351074e+02,-1.995999999999997776e-03
2.051237592697143555e+02,-2.072000000000004394e-03
2.055259542465209961e+02,-2.244000000000002937e-03
2.059155719280242920e+02,-2.506000000000001282e-03
2.063944177627563477e+02,-2.842999999999998306e-03
2.067710993289947510e+02,-3.310000000000000442e-03
2.071931228637695312e+02,-3.720000000000001084e-03
2.076172995567321777e+02,-4.179000000000002157e-03
2.080475809574127197e+02,-4.628000000000000169e-03
2.084669239521026611e+02,-5.025000000000001688e-03
2.088394687175750732e+02,-5.337000000000001465e-03
2.092530350685119629e+02,-5.537000000000000255e-03
2.096637649536132812e+02,-5.665000000000003366e-03
2.100541296005249023e+02,-5.686999999999997613e-03
2.104789943695068359e+02,-5.609000000000002872e-03
2.109515085220336914e+02,-5.429000000000003268e-03
2.113789732456207275e+02,-5.128000000000000613e-03
2.117833232879638672e+02,-4.784999999999997589e-03
2.121903133392333984e+02,-4.432999999999999441e-03
2.126178834438323975e+02,-4.066000000000000170e-03
